S.No,Contaminant,Initial conc,Final Conc,%removal,Initial pH,Final pH,Current,Electrode Gap,Current Density,Voltage,Nacl conc,Residence Time,Reactor Volume,Electrode Material,Batch/Continuous,Electrode Area,Reference No.
,As,0.205,0.0451,78.0,3.0,,0.24,1.5,30.0,,,17.5,0.25,Fe,Batch,80.0,
61.0,F,5.0,0.8,84.0,6.0,,4.76,2.0,200.0,,0.01,5.0,400.0,al,batch,238.0,31.0
28.0,F,10.0,8.2,18.0,7.0,,2.0,5.0,200.0,,0.1,10.0,1000.0,al,batch,100.0,30.0
,As,30.0,2.7,91.0,6.0,,0.2,5.0,10.52631579,,,90.0,2.0,Fe,Batch,190.0,
16.0,As,123.0,1.476,98.8,6.0,,0.375,3.0,300.0,,,60.0,250.0,Al-Fe,batch,12.5,2.0
,As,0.3875,0.01259375,96.75,,,0.0625,1.5,12.5,,,26.25,1500.0,Fe,batch,50.0,45.0
60.0,F,5.0,0.3,94.0,6.0,,2.38,2.0,100.0,,0.01,30.0,400.0,al,batch,238.0,31.0
,F,7.27,4.79,34.05,5.0,,0.1184,0.6,40.0,,,7.0,0.45,Al,Batch,29.6,
,F,12.0,2.8776,76.02,7.0,9.3,3.072,1.0,60.0,,714.3,120.0,1400.0,Al,batch,512.0,39.0
95.0,F,5.0,0.765,84.7,8.0,10.72,4.76,2.0,200.0,,0.01,25.0,400.0,al,batch,238.0,31.0
,As,0.1,0.0024,97.6,7.4,7.43,0.11,1.3,5.0,1.0,,18.3,800.0,Fe,batch,219.0,43.0
,As,0.55,0.02211,95.98,7.0,9.4,1.792,1.0,35.0,,714.3,65.0,1400.0,Al,batch,512.0,39.0
13.0,F,10.0,6.5,35.0,7.0,7.0,1.0,5.0,100.0,,0.1,5.0,1000.0,al,batch,100.0,30.0
,As,10.0,0.8,92.0,4.0,4.0,0.1,1.5,20.0,,,8.0,500.0,Steel,batch,50.0,42.0
10.0,F,4.24,1.606536,62.11,5.0,7.93,2.597,,45.0,5.04,,15.0,,Al-Fe,batch,577.2,1.0
53.0,F,5.0,0.6,88.0,6.0,,1.19,2.0,50.0,,0.01,25.0,400.0,al,batch,238.0,31.0
23.0,As,13.4,0.3752,97.2,2.4,,0.375,3.0,300.0,,,60.0,250.0,Al,batch,12.5,2.0
200.0,F,25.0,14.0,44.0,6.0,,1.0,1.0,125.0,10.0,,60.0,1000.0,Fe,batch,80.0,35.0
,As,0.1,0.04004,59.96,7.0,,0.35,1.0,6.25,,,6.0,1.7,Al,Batch,560.0,
,As,10.0,5.5,45.0,4.0,,0.4,5.0,21.05263158,,,2.5,2.0,Fe,Batch,190.0,
,F,7.27,3.21,55.88,5.0,,0.1776,0.6,60.0,,,7.0,0.45,Al,Batch,29.6,
,F,16.0,9.44,41.0,7.4,7.4,0.25,1.5,25.0,,,20.0,1000.0,Al,batch,100.0,41.0
,As,10.0,0.2,98.0,4.0,,1.2,5.0,63.15789474,,,120.0,2.0,Al,Batch,190.0,
147.0,F,10.0,2.5,75.0,,,0.1,1.0,1.0,14.0,,5.0,5000.0,Al,continuous,100.0,27.0
,As,30.0,6.0,80.0,6.0,,1.2,5.0,63.15789474,,,15.0,2.0,Fe,Batch,190.0,
,As,50.0,20.0,60.0,2.0,,0.756,0.5,5.4,15.0,,20.0,1400.0,Fe,batch,1400.0,9.0
,As,0.1625,0.00352625,97.83,,,0.0625,1.5,12.5,,,48.75,1500.0,Fe,batch,50.0,45.0
,As,0.1,0.01278,87.22,7.0,,0.5,1.0,8.928571429,,,10.0,1.7,Fe,Batch,560.0,
,F,7.27,6.19,14.86,6.0,,0.148,0.6,50.0,,,5.0,0.45,Al,Batch,29.6,
88.0,F,5.0,0.765,84.7,7.0,10.57,4.76,2.0,200.0,,0.01,20.0,400.0,al,batch,238.0,31.0
124.0,F,50.0,5.0,90.0,6.0,10.19,2.0,2.0,301.0,29.1,,40.0,1500.0,Fe,batch,66.28,21.0
,As,1.0,0.04,96.0,6.0,,0.8,5.0,42.10526316,,,10.0,2.0,Fe,Batch,190.0,
,As,10.0,9.6,4.0,8.0,,1.2,5.0,63.15789474,,,3.0,2.0,Al,Batch,190.0,
113.0,F,7.06,1.239736,82.44,9.02,9.25,0.3,0.5,50.0,3.11,,30.0,2000.0,Al,batch,60.0,15.0
68.0,As,0.145,0.01015,93.0,7.42,,0.1,3.0,0.5,3.0,,30.0,1000.0,Al,batch,200.0,8.0
,F,14.0,8.498,39.3,7.4,7.4,0.25,1.5,25.0,,,20.0,1000.0,Al,batch,100.0,41.0
81.0,F,5.0,0.675,86.5,6.0,10.5,4.76,2.0,200.0,,0.01,15.0,400.0,al,batch,238.0,31.0
61.0,As,0.05,0.0005,99.0,8.5,,0.05,3.0,0.25,3.0,,4.94,1000.0,Fe,batch,200.0,8.0
,As,0.1625,0.00128375,99.21,,,0.0625,1.5,12.5,,,26.25,1500.0,Fe,batch,50.0,45.0
,F,50.0,10.0,80.0,7.0,,1.0,2.0,150.87,,,40.0,1500.0,Fe,batch,66.28,21.0
75.0,F,5.0,0.745,85.1,5.0,10.2,4.76,2.0,200.0,,0.01,15.0,400.0,al,batch,238.0,31.0
40.0,F,5.0,4.0,20.0,6.0,,2.38,2.0,100.0,,0.01,20.0,400.0,Fe ,batch,238.0,31.0
,As,50.0,2.0,96.0,3.0,,0.756,0.5,5.4,15.0,,20.0,1400.0,Fe,batch,1400.0,9.0
,As,10.0,9.98,0.2,4.0,,0.8,5.0,42.10526316,,,2.5,2.0,Al,Batch,190.0,
,As,0.15,0.00675,95.5,7.5,,0.05475,1.3,2.5,,,10.0,750.0,Fe,batch,219.0,10.0
88.0,As,0.5,0.08265,83.47,5.0,,0.16668,2.0,13.89,,,20.0,4000.0,Fe-Al,batch,120.0,11.0
,As,50.0,36.0,28.0,6.0,,0.8,5.0,42.10526316,,,15.0,2.0,Fe,Batch,190.0,
93.0,F,5.0,0.99,80.2,8.0,10.75,4.76,2.0,200.0,,0.01,15.0,400.0,al,batch,238.0,31.0
42.0,F,5.0,4.2,16.0,6.0,,2.38,2.0,100.0,,0.01,30.0,400.0,Fe ,batch,238.0,31.0
1.0,As,0.042,0.042,0.0,3.0,4.57,0.441,,45.0,2.9,,15.0,,Al,batch,98.0,1.0
,F,7.27,1.53,78.89,7.0,,0.1776,0.6,60.0,,,21.0,0.45,Al,Batch,29.6,
,F,12.0,1.4796,87.67,3.0,8.8,1.792,1.0,35.0,,714.3,120.0,1400.0,Al,batch,512.0,39.0
,As,10.0,7.2,28.0,4.0,,0.4,5.0,21.05263158,,,120.0,2.0,Al,Batch,190.0,
,As,10.0,0.01,99.9,5.0,5.0,0.1,1.5,20.0,,,37.0,500.0,Steel,batch,50.0,42.0
82.0,F,5.0,0.49,90.2,6.0,10.51,4.76,2.0,200.0,,0.01,20.0,400.0,al,batch,238.0,31.0
,As,30.0,6.0,80.0,6.0,,0.2,5.0,10.52631579,,,60.0,2.0,Fe,Batch,190.0,
,As,0.15,0.0066,95.6,6.5,,0.05475,1.3,2.5,,,10.0,750.0,Fe,batch,219.0,10.0
213.0,F,5.0,0.95,81.0,6.0,,0.238,,1.0,,,5.0,400.0,Al,batch,238.0,37.0
,As,0.205,0.0123,94.0,3.0,,0.6,1.5,75.0,,,30.0,0.25,Fe,Batch,80.0,
,As,0.275,0.0023375,99.15,,,0.075,1.5,15.0,,,37.5,1500.0,Fe,batch,50.0,45.0
78.0,F,5.0,0.35,93.0,5.0,10.5,4.76,2.0,200.0,,0.01,30.0,400.0,al,batch,238.0,31.0
35.0,F,10.0,8.6,14.0,7.0,,2.0,7.5,200.0,,0.1,20.0,1000.0,al,batch,100.0,30.0
,As,0.205,0.0082,96.0,3.0,,0.96,1.5,120.0,,,17.5,0.25,Fe,Batch,80.0,
104.0,F,5.0,3.25,35.0,9.0,,0.45,,112.5,,,15.0,1000.0,Al-Fe,batch,40.0,14.0
,As,0.3875,0.001705,99.56,,,0.0875,1.5,17.5,,,48.75,1500.0,Fe,batch,50.0,45.0
,As,10.0,2.5,75.0,6.0,,0.2,5.0,10.52631579,,,30.0,2.0,Fe,Batch,190.0,
