S.No,Contaminant,Initial conc,Final Conc,%removal,Initial pH,Final pH,Current,Electrode Gap,Current Density,Voltage,Nacl conc,Residence Time,Reactor Volume,Electrode Material,Batch/Continuous,Electrode Area,Reference No.
,As,10.0,2.2,78.0,4.0,,0.4,5.0,21.05263158,,,10.0,2.0,Fe,Batch,190.0,
,As,0.205,0.0492,76.0,3.0,,0.6,1.5,75.0,,,5.0,0.25,Al,Batch,80.0,
33.0,F,10.0,7.8,22.0,7.0,,2.0,10.0,200.0,,0.1,15.0,1000.0,al,batch,100.0,30.0
,As,1.0,0.12,88.0,6.0,,0.4,5.0,21.05263158,,,6.0,2.0,Fe,Batch,190.0,
,As,0.3875,0.011005,97.16,,,0.0875,1.5,17.5,,,26.25,1500.0,Fe,batch,50.0,45.0
,As,0.1,0.00303,96.97,7.0,,0.2,1.0,3.571428571,,,2.0,1.7,Al,Batch,560.0,
87.0,F,5.0,0.9,82.0,7.0,10.52,4.76,2.0,200.0,,0.01,15.0,400.0,al,batch,238.0,31.0
,As,50.0,19.0,62.0,4.0,,0.504,0.5,3.6,15.0,,10.0,1400.0,Fe,batch,1400.0,9.0
89.0,F,5.0,0.635,87.3,7.0,10.6,4.76,2.0,200.0,,0.01,25.0,400.0,al,batch,238.0,31.0
,As,0.205,0.0205,90.0,6.5,,0.6,1.5,75.0,,,17.5,0.25,Al,Batch,80.0,
210.0,F,5.0,1.325,73.5,6.0,,0.238,,1.0,,,15.0,400.0,Fe,batch,238.0,37.0
,As,100.0,41.0,59.0,4.0,,0.042,1.5,100.0,,,60.0,250.0,Fe,batch,4.2,3.0
,As,30.0,20.4,32.0,6.0,,0.8,5.0,42.10526316,,,10.0,2.0,Fe,Batch,190.0,
67.0,F,5.0,1.125,77.5,4.0,9.1,4.76,2.0,200.0,,0.01,5.0,400.0,al,batch,238.0,31.0
,As,0.1625,0.00297375,98.17,,,0.0875,1.5,17.5,,,26.25,1500.0,Fe,batch,50.0,45.0
43.0,As,0.15,0.00885,94.1,6.5,,0.1,3.0,0.25,3.0,,2.5,1000.0,Fe,batch,400.0,8.0
,As,0.55,0.006765,98.77,11.0,9.7,1.792,1.0,35.0,,714.3,120.0,1400.0,Al,batch,512.0,39.0
214.0,F,5.0,0.7,86.0,6.0,,0.238,,1.0,,,15.0,400.0,Al,batch,238.0,37.0
29.0,As,0.1,0.004,96.0,5.0,,2.0,0.5,200.0,12.0,,15.0,1000.0,Fe,batch,100.0,5.0
,F,15.0,4.150000001,72.33333333,6.0,,2.0,0.5,12.5,,,60.0,8000.0,Al,batch,1600.0,16.0
41.0,F,5.0,4.175,16.5,6.0,,2.38,2.0,100.0,,0.01,25.0,400.0,Fe ,batch,238.0,31.0
,F,7.27,2.58,64.51,6.0,,0.148,0.6,50.0,,,25.0,0.45,Al,Batch,29.6,
,As,0.8,0.1376,82.8,7.4,7.4,0.1,1.5,10.0,,,4.0,1120.0,Fe,batch,100.0,40.0
,As,0.275,0.0023375,99.15,,,0.075,1.5,15.0,,,37.5,1500.0,Fe,batch,50.0,45.0
,As,0.6,0.0588,90.2,7.4,7.4,0.1,1.5,10.0,,,5.8,1120.0,Fe,batch,100.0,40.0
,As,0.1625,0.00037375,99.77,,,0.0625,1.5,12.5,,,48.75,1500.0,Fe,batch,50.0,45.0
,F,7.27,2.78,61.76,5.0,,0.148,0.6,50.0,,,15.0,0.45,Al,Batch,29.6,
,F,5.0,0.1,98.0,6.0,,8.0,0.5,50.0,,,60.0,8000.0,Al,batch,1600.0,16.0
,As,10.0,9.96,0.4,4.0,,0.8,5.0,42.10526316,,,5.0,2.0,Al,Batch,190.0,
88.0,As,0.5,0.1007,79.86,9.0,,0.16668,2.0,13.89,,,20.0,4000.0,Fe-Al,batch,120.0,11.0
,As,10.0,9.95,0.5,4.0,,1.2,5.0,63.15789474,,,5.0,2.0,Al,Batch,190.0,
,F,50.0,7.0,86.0,6.0,,0.50001632,2.0,75.44,,,40.0,1500.0,Fe,batch,66.28,21.0
,As,10.0,9.8,2.0,4.0,,0.8,5.0,42.10526316,,,15.0,2.0,Al,Batch,190.0,
,As,0.1,0.0796,20.4,7.0,,0.14,1.0,2.5,,,6.0,1.7,Al,Batch,560.0,
,As,0.01,0.002,80.0,6.5,,0.6,1.5,75.0,,,5.0,0.25,Fe,Batch,80.0,
,As,0.205,0.0492,76.0,6.5,,0.24,1.5,30.0,,,5.0,0.25,Fe,Batch,80.0,
,As,0.01,0.0008,92.0,3.0,,0.6,1.5,75.0,,,17.5,0.25,Fe,Batch,80.0,
,F,7.27,3.65,49.79,7.0,,0.148,0.6,50.0,,,15.0,0.45,Al,Batch,29.6,
,As,10.0,6.8,32.0,4.0,,1.2,5.0,63.15789474,,,60.0,2.0,Al,Batch,190.0,
,As,10.0,9.95,0.5,4.0,,1.2,5.0,63.15789474,,,5.0,2.0,Al,Batch,190.0,
60.0,As,0.285,0.001995,99.3,7.6,,0.3,3.0,2.0,3.0,,20.0,1000.0,Fe,batch,150.0,8.0
,F,7.27,3.46,52.41,6.0,,0.148,0.6,50.0,,,15.0,0.45,Al,Batch,29.6,
,As,0.01,0.0019,81.0,6.5,,0.96,1.5,120.0,,,17.5,0.25,Al,Batch,80.0,
,F,10.0,0.9,91.0,6.0,,5.0,0.5,31.25,,,60.0,8000.0,Al,batch,1600.0,16.0
,As,0.1625,0.00011375,99.93,,,0.0875,1.5,17.5,,,48.75,1500.0,Fe,batch,50.0,45.0
,As,0.01,0.003,70.0,6.5,,0.24,1.5,30.0,,,17.5,0.25,Fe,Batch,80.0,
,F,20.0,7.05,64.75,6.0,,3.0,0.5,18.75,,,60.0,8000.0,Al,batch,1600.0,16.0
26.0,F,10.0,6.3,37.0,7.0,,2.0,7.5,200.0,,0.1,5.0,1000.0,al,batch,100.0,30.0
,F,50.0,7.0,86.0,6.0,,0.37567504,2.0,56.68,,,40.0,1500.0,Fe,batch,66.28,21.0
,As,10.0,2.9,71.0,8.0,,1.2,5.0,63.15789474,,,120.0,2.0,Al,Batch,190.0,
,As,0.838,0.262294,68.7,7.4,7.4,0.1,1.5,10.0,,,2.2,1120.0,Fe,batch,100.0,40.0
,As,0.6,0.087,85.5,7.4,7.4,0.1,1.5,10.0,,,4.0,1120.0,Fe,batch,100.0,40.0
,F,50.0,18.8,62.4,5.0,,1.992,3.0,83.0,,,20.0,2.0,Al,Batch,240.0,
,As,10.0,0.8,92.0,4.0,,0.4,5.0,21.05263158,,,90.0,2.0,Fe,Batch,190.0,
112.0,F,7.06,0.569742,91.93,7.29,8.94,0.3,0.5,50.0,3.05,,30.0,2000.0,Al,batch,60.0,15.0
,As,0.4,0.12,70.0,6.5,,0.24,1.5,30.0,,,17.5,0.25,Fe,Batch,80.0,
,As,10.0,4.8,52.0,8.0,,1.2,5.0,63.15789474,,,90.0,2.0,Al,Batch,190.0,
,As,0.15,0.01395,90.7,7.0,,0.05475,1.3,2.5,,,10.0,750.0,Al,batch,219.0,10.0
211.0,F,5.0,0.875,82.5,6.0,,0.238,,1.0,,,25.0,400.0,Fe,batch,238.0,37.0
,As,0.4,0.112,72.0,6.5,,0.6,1.5,75.0,,,30.0,0.25,Fe,Batch,80.0,
,As,30.0,0.15,99.5,6.0,,1.2,5.0,63.15789474,,,60.0,2.0,Fe,Batch,190.0,
77.0,As,0.15,0.00885,94.1,6.5,8.1,0.11,1.3,0.3793,1.6,,7.5,750.0,Fe,batch,219.0,10.0
,As,0.1,0.0034,96.6,7.4,7.57,0.11,1.3,5.0,1.07,,10.0,800.0,Fe,batch,219.0,43.0
,As,0.184,0.019872,89.2,7.4,7.56,0.11,1.3,5.0,0.78,,10.0,800.0,Fe,batch,219.0,43.0
84.0,As,0.5,0.103075,79.385,5.0,,0.16668,2.0,13.89,,,20.0,4000.0,Fe-Fe,batch,120.0,11.0
46.0,As,0.133,0.009975,92.5,8.1,,0.1,3.0,4.5,3.0,,6.5,1000.0,Fe,batch,22.22,8.0
111.0,F,7.06,0.549974,92.21,5.02,5.08,0.3,0.5,50.0,2.04,,30.0,2000.0,Al,batch,60.0,15.0
,As,10.0,0.2,98.0,6.4,6.4,0.1,1.5,20.0,,,20.0,500.0,Steel,batch,50.0,42.0
,As,0.1,0.07349,26.51,7.0,,0.35,1.0,6.25,,,0.34,1.7,Al,Batch,560.0,
178.0,F,10.0,1.82,81.8,7.0,7.4,1.0,3.0,275.8,25.0,,180.0,1000.0,Fe,batch,36.25,32.0
,As,10.0,9.4,6.0,6.0,,0.8,5.0,42.10526316,,,30.0,2.0,Al,Batch,190.0,
,As,30.0,26.7,11.0,6.0,,0.2,5.0,10.52631579,,,2.5,2.0,Fe,Batch,190.0,
9.0,F,4.24,0.290016,93.16,3.0,6.47,2.597,,45.0,5.05,,15.0,,Al-Fe,batch,577.2,1.0
,As,1.0,0.42,58.0,6.0,,0.4,5.0,21.05263158,,,3.0,2.0,Fe,Batch,190.0,
29.0,As,0.1,0.007,93.0,7.0,,2.0,0.5,200.0,12.0,,15.0,1000.0,Fe,batch,100.0,5.0
,As,0.275,0.0022825,99.17,,,0.075,1.5,15.0,,,37.5,1500.0,Fe,batch,50.0,45.0
57.0,F,5.0,0.7,86.0,6.0,,2.38,2.0,100.0,,0.01,15.0,400.0,al,batch,238.0,31.0
20.0,F,10.0,8.8,12.0,7.0,7.0,2.0,5.0,200.0,,0.1,15.0,1000.0,al,batch,100.0,30.0
,As,10.0,5.2,48.0,6.0,,0.8,5.0,42.10526316,,,5.0,2.0,Fe,Batch,190.0,
,As,1.0,0.03,97.0,6.0,,0.4,5.0,21.05263158,,,15.0,2.0,Fe,Batch,190.0,
,As,10.0,0.3,97.0,6.0,,0.4,5.0,21.05263158,,,60.0,2.0,Fe,Batch,190.0,
66.0,F,5.0,0.1,98.0,6.0,,4.76,2.0,200.0,,0.01,30.0,400.0,al,batch,238.0,31.0
14.0,F,10.0,7.43,25.7,7.0,7.0,2.0,5.0,200.0,,0.1,5.0,1000.0,al,batch,100.0,30.0
,As,0.15,0.0021,98.6,7.4,7.62,0.165,1.3,7.5,1.58,,15.0,800.0,Fe,batch,219.0,43.0
110.0,F,7.06,0.429954,93.91,3.0,4.89,0.3,0.5,50.0,2.13,,30.0,2000.0,Al,batch,60.0,15.0
,As,30.0,18.0,40.0,6.0,,1.2,5.0,63.15789474,,,5.0,2.0,Fe,Batch,190.0,
,F,75.0,23.0025,69.33,7.0,,4.008,3.0,167.0,,,15.0,2.0,Al,Batch,240.0,
,As,0.4,0.16,60.0,3.0,,0.6,1.5,75.0,,,17.5,0.25,Al,Batch,80.0,
107.0,F,8.63,1.826108,78.84,9.14,,0.3,0.5,50.0,1.0,,10.0,2000.0,Al,batch,60.0,15.0
106.0,F,8.63,2.410359,72.07,9.14,,0.3,0.5,50.0,0.8,,8.0,2000.0,Al,batch,60.0,15.0
,As,10.0,9.2,8.0,8.0,,0.4,5.0,21.05263158,,,2.5,2.0,Fe,Batch,190.0,
,As,0.1,0.0003,99.7,7.0,,0.14,1.0,2.5,,,6.0,1.7,Fe,Batch,560.0,
,As,0.1,0.02937,70.63,7.0,,0.35,1.0,6.25,,,6.0,1.7,Al,Batch,560.0,
,As,0.55,0.333245,39.41,7.0,8.8,0.512,1.0,10.0,,714.3,10.0,1400.0,Al,batch,512.0,39.0
,As,0.275,0.0022,99.2,,,0.075,1.5,15.0,,,37.5,1500.0,Fe,batch,50.0,45.0
4.0,F,10.0,9.4,6.0,5.0,8.0,0.46875,0.5,18.75,30.0,0.1,60.0,3600.0,al,batch,250.0,38.0
,F,50.0,15.0,70.0,5.0,,1.0,2.0,150.87,,,40.0,1500.0,Fe,batch,66.28,21.0
87.0,As,0.5,0.1513,69.74,7.0,,0.16668,2.0,13.89,,,20.0,4000.0,Al-Al,batch,120.0,11.0
,As,10.0,9.88,1.2,4.0,,0.8,5.0,42.10526316,,,10.0,2.0,Al,Batch,190.0,
103.0,F,5.0,3.3,34.0,7.0,,0.45,,112.5,,,15.0,1000.0,Al-Fe,batch,40.0,14.0
,F,7.27,3.89,46.49,6.0,,0.148,0.6,50.0,,,15.0,0.45,Al,Batch,29.6,
127.0,F,5.0,0.1,98.0,10.0,,0.15,4.0,1.25,20.0,,40.0,3375.0,Al,batch,120.0,22.0
83.0,F,5.0,0.35,93.0,6.0,10.54,4.76,2.0,200.0,,0.01,25.0,400.0,al,batch,238.0,31.0
10.0,F,10.0,9.4,6.0,5.0,,2.0,5.0,200.0,,0.1,20.0,1000.0,al,batch,100.0,30.0
,As,10.0,0.13,98.7,4.0,4.0,0.1,1.5,20.0,,,32.0,500.0,Steel,batch,50.0,42.0
86.0,As,0.5,0.19105,61.79,5.0,,0.16668,2.0,13.89,,,20.0,4000.0,Al-Al,batch,120.0,11.0
123.0,F,50.0,6.0,88.0,6.0,9.2,1.5,2.0,226.0,23.8,,40.0,1500.0,Fe,batch,66.28,21.0
146.0,F,10.0,2.2,78.0,,,0.1,1.0,1.0,13.5,,5.0,5000.0,Al,continuous,100.0,27.0
,As,0.275,0.002255,99.18,,,0.075,1.5,15.0,,,37.5,1500.0,Fe,batch,50.0,45.0
50.0,F,5.0,1.1,78.0,6.0,,1.19,2.0,50.0,,0.01,10.0,400.0,al,batch,238.0,31.0
,As,0.15,0.04185,72.1,7.4,7.41,0.055,1.3,2.5,0.54,,5.0,800.0,Fe,batch,219.0,43.0
,F,75.0,23.7975,68.27,7.0,,4.008,3.0,167.0,,,15.0,2.0,Al,Batch,240.0,
84.0,As,0.5,0.00345,99.31,7.0,,0.16668,2.0,13.89,,,40.0,4000.0,Fe-Fe,batch,120.0,11.0
,As,10.0,0.6,94.0,3.6,3.6,0.1,1.5,20.0,,,20.0,500.0,Steel,batch,50.0,42.0
,As,30.0,5.7,81.0,6.0,,0.8,5.0,42.10526316,,,30.0,2.0,Fe,Batch,190.0,
,As,30.0,14.4,52.0,6.0,,0.2,5.0,10.52631579,,,30.0,2.0,Fe,Batch,190.0,
,F,50.0,0.98,98.04,9.0,,6.0,3.0,250.0,,,20.0,2.0,Al,Batch,240.0,
190.0,F,190.0,25.00000001,86.84210526,3.0,7.3,6.0,1.5,60.0,,,10.0,495.0,Al,batch,832.0,33.0
,F,75.0,22.605,69.86,7.0,,4.008,3.0,167.0,,,15.0,2.0,Al,Batch,240.0,
,As,10.0,0.6,94.0,6.0,,0.8,5.0,42.10526316,,,30.0,2.0,Fe,Batch,190.0,
,F,75.0,75.0,0.0,7.0,,0.0,3.0,0.0,,,15.0,2.0,Al,Batch,240.0,
,As,10.0,0.5,95.0,6.0,,0.2,5.0,10.52631579,,,90.0,2.0,Fe,Batch,190.0,
,F,6.0,4.518,24.7,7.4,7.4,0.4,1.5,40.0,,,3.0,1000.0,Al,batch,100.0,41.0
,F,7.27,5.32,26.85,5.0,,0.1184,0.6,40.0,,,7.0,0.45,Al,Batch,29.6,
,As,0.205,0.0041,98.0,6.5,,0.6,1.5,75.0,,,17.5,0.25,Fe,Batch,80.0,
71.0,F,5.0,0.55,89.0,4.0,10.35,4.76,2.0,200.0,,0.01,25.0,400.0,al,batch,238.0,31.0
,As,50.0,14.0,72.0,6.0,,0.8,5.0,42.10526316,,,30.0,2.0,Fe,Batch,190.0,
,As,0.275,0.002255,99.18,,,0.075,1.5,15.0,,,37.5,1500.0,Fe,batch,50.0,45.0
,As,0.4,0.088,78.0,6.5,,0.6,1.5,75.0,,,30.0,0.25,Al,Batch,80.0,
,As,0.15,0.015,90.0,8.0,,0.05475,1.3,2.5,,,10.0,750.0,Al,batch,219.0,10.0
217.0,F,10.0,0.8,92.0,5.0,8.6,0.468,0.5,1.875,,,60.0,3600.0,Al,batch,250.0,38.0
,As,10.0,9.5,5.0,4.0,,0.4,5.0,21.05263158,,,60.0,2.0,Al,Batch,190.0,
,As,0.6,0.2184,63.6,7.4,7.4,0.1,1.5,10.0,,,1.0,1120.0,Fe,batch,100.0,40.0
37.0,F,5.0,3.6,28.0,6.0,,2.38,2.0,100.0,,0.01,5.0,400.0,Fe ,batch,238.0,31.0
,As,10.0,8.0,20.0,4.0,,0.4,5.0,21.05263158,,,90.0,2.0,Al,Batch,190.0,
34.0,F,10.0,9.3,7.0,7.0,,2.0,5.0,200.0,,0.1,20.0,1000.0,al,batch,100.0,30.0
,As,10.0,0.05,99.5,5.0,5.0,0.1,1.5,20.0,,,20.0,500.0,Steel,batch,50.0,42.0
,F,100.0,45.0,55.0,5.0,,1.992,3.0,83.0,,,20.0,2.0,Al,Batch,240.0,
,As,0.55,0.059455,89.19,11.0,9.5,0.512,1.0,10.0,,714.3,65.0,1400.0,Al,batch,512.0,39.0
62.0,F,5.0,0.7,86.0,6.0,,4.76,2.0,200.0,,0.01,10.0,400.0,al,batch,238.0,31.0
86.0,F,5.0,1.0,80.0,7.0,10.35,4.76,2.0,200.0,,0.01,10.0,400.0,al,batch,238.0,31.0
,As,0.8,0.108,86.5,7.4,7.4,0.1,1.5,10.0,,,4.0,1120.0,Fe,batch,100.0,40.0
,As,0.6,0.099,83.5,7.4,7.4,0.1,1.5,10.0,,,4.0,1120.0,Fe,batch,100.0,40.0
209.0,F,5.0,1.35,73.0,6.0,,0.238,,1.0,,,5.0,400.0,Fe,batch,238.0,37.0
,As,0.1,0.03021,69.79,7.0,,0.35,1.0,6.25,,,6.0,1.7,Al,Batch,560.0,
,As,10.0,9.6,4.0,6.0,,0.8,5.0,42.10526316,,,10.0,2.0,Al,Batch,190.0,
,As,0.205,0.0615,70.0,10.0,,0.6,1.5,75.0,,,5.0,0.25,Al,Batch,80.0,
,F,12.0,2.0004,83.33,11.0,9.7,1.792,1.0,35.0,,714.3,120.0,1400.0,Al,batch,512.0,39.0
,As,0.4,0.088,78.0,6.5,,0.96,1.5,120.0,,,17.5,0.25,Fe,Batch,80.0,
,F,7.27,2.31,68.2,5.0,,0.1776,0.6,60.0,,,21.0,0.45,Al,Batch,29.6,
,As,0.1,0.00246,97.54,7.0,,0.2,1.0,3.571428571,,,10.0,1.7,Al,Batch,560.0,
,F,100.0,4.74,95.26,5.0,,6.0,3.0,250.0,,,20.0,2.0,Al,Batch,240.0,
,As,10.0,9.7,3.0,4.0,,0.8,5.0,42.10526316,,,30.0,2.0,Al,Batch,190.0,
,As,10.0,8.9,11.0,6.0,,0.8,5.0,42.10526316,,,60.0,2.0,Al,Batch,190.0,
,As,10.0,8.5,15.0,4.0,,1.2,5.0,63.15789474,,,2.5,2.0,Fe,Batch,190.0,
,As,10.0,1.2,88.0,6.0,,0.2,5.0,10.52631579,,,60.0,2.0,Fe,Batch,190.0,
74.0,As,50.0,2.0,96.0,6.0,,0.756,0.5,5.4,15.0,,30.0,1400.0,Fe,batch,1400.0,9.0
46.0,F,5.0,4.55,9.0,6.0,,2.38,2.0,100.0,,0.01,20.0,400.0,al,batch,238.0,31.0
,F,5.0,1.0,80.0,6.0,,3.0,0.5,18.75,,,60.0,8000.0,Al,batch,1600.0,16.0
,As,0.205,0.0369,82.0,10.0,,0.96,1.5,120.0,,,17.5,0.25,Fe,Batch,80.0,
29.0,As,0.1,0.067,33.0,9.0,,2.0,0.5,200.0,12.0,,15.0,1000.0,Fe,batch,100.0,5.0
,As,10.0,1.0,90.0,4.0,,0.4,5.0,21.05263158,,,30.0,2.0,Fe,Batch,190.0,
,F,20.0,4.9,75.5,6.0,,5.0,0.5,31.25,,,60.0,8000.0,Al,batch,1600.0,16.0
,As,10.0,6.0,40.0,4.0,,0.8,5.0,42.10526316,,,90.0,2.0,Al,Batch,190.0,
,As,10.0,5.2,48.0,6.0,,0.8,5.0,42.10526316,,,90.0,2.0,Al,Batch,190.0,
,As,0.1,0.04757,52.43,7.0,,0.56,1.0,10.0,,,6.0,1.7,Al,Batch,560.0,
,As,50.0,28.5,43.0,4.0,,0.252,0.5,1.8,15.0,,10.0,1400.0,Fe,batch,1400.0,9.0
,As,10.0,0.25,97.5,6.0,,1.2,5.0,63.15789474,,,15.0,2.0,Fe,Batch,190.0,
44.0,F,5.0,4.175,16.5,6.0,,2.38,2.0,100.0,,0.01,10.0,400.0,al,batch,238.0,31.0
,As,10.0,6.5,35.0,6.0,,0.2,5.0,10.52631579,,,10.0,2.0,Fe,Batch,190.0,
,As,0.275,0.0022,99.2,,,0.05,1.5,10.0,,,37.5,1500.0,Fe,batch,50.0,45.0
,As,10.0,2.5,75.0,8.0,,0.4,5.0,21.05263158,,,30.0,2.0,Fe,Batch,190.0,
,F,75.0,23.4,68.8,11.0,,4.008,3.0,167.0,,,15.0,2.0,Al,Batch,240.0,
177.0,F,10.0,1.51,84.9,6.42,7.26,1.0,3.0,275.8,25.0,,180.0,1000.0,Fe,batch,36.25,32.0
,F,12.0,4.56,62.0,7.4,7.4,0.25,1.5,25.0,,,37.0,1000.0,Al,batch,100.0,41.0
,F,17.0,10.03,41.0,7.4,7.4,0.25,1.5,25.0,,,20.0,1000.0,Al,batch,100.0,41.0
,As,10.0,2.9,71.0,6.0,,0.8,5.0,42.10526316,,,120.0,2.0,Al,Batch,190.0,
188.0,F,190.0,40.0,78.94736842,3.0,7.4,12.0,1.0,120.0,,,10.0,495.0,Al,batch,832.0,33.0
5.0,As,0.042,0.00084,98.0,5.0,7.93,2.597,,45.0,5.04,,15.0,,Al-Fe,batch,577.2,1.0
,F,75.0,3.12,95.84,7.0,,4.008,3.0,167.0,,,25.0,2.0,Al,Batch,240.0,
,As,50.0,49.25,1.5,6.0,,0.8,5.0,42.10526316,,,2.5,2.0,Fe,Batch,190.0,
,As,10.0,4.2,58.0,6.0,,0.4,5.0,21.05263158,,,15.0,2.0,Fe,Batch,190.0,
,As,50.0,5.5,89.0,4.0,,0.994,0.5,7.1,15.0,,10.0,1400.0,Fe,batch,1400.0,9.0
,As,10.0,8.3,17.0,6.0,,0.2,5.0,10.52631579,,,5.0,2.0,Fe,Batch,190.0,
,As,10.0,0.04,99.6,5.0,5.0,0.1,1.5,20.0,,,20.0,500.0,Steel,batch,50.0,42.0
,As,0.205,0.0082,96.0,6.5,,0.96,1.5,120.0,,,30.0,0.25,Fe,Batch,80.0,
40.0,As,0.1123,0.0068503,93.9,7.4,,0.1,3.0,0.564,3.0,,5.0,1000.0,Fe,batch,177.304,8.0
,As,50.0,12.5,75.0,7.0,,0.042,1.5,100.0,,,60.0,250.0,Fe,batch,4.2,3.0
130.0,F,5.0,3.5,30.0,10.0,,0.15,4.0,1.25,20.0,,40.0,3375.0,Fe,batch,120.0,22.0
88.0,As,0.5,0.0037,99.26,5.0,,0.16668,2.0,13.89,,,40.0,4000.0,Fe-Al,batch,120.0,11.0
,As,100.0,31.0,69.0,7.0,,0.042,1.5,100.0,,,60.0,250.0,Fe,batch,4.2,3.0
,F,100.0,39.6,60.4,5.0,,6.0,3.0,250.0,,,10.0,2.0,Al,Batch,240.0,
215.0,F,5.0,0.31,93.8,6.0,,0.238,,1.0,,,25.0,400.0,Al,batch,238.0,37.0
,As,0.01,0.004,60.0,6.5,,0.24,1.5,30.0,,,17.5,0.25,Al,Batch,80.0,
,As,0.6,0.0324,94.6,7.4,7.4,0.1,1.5,10.0,,,7.0,1120.0,Fe,batch,100.0,40.0
92.0,F,5.0,1.14,77.2,8.0,10.63,4.76,2.0,200.0,,0.01,10.0,400.0,al,batch,238.0,31.0
,As,0.15,0.0087,94.2,7.4,7.47,0.165,1.3,7.5,1.52,,5.0,800.0,Fe,batch,219.0,43.0
,F,11.0,6.215,43.5,7.4,7.4,0.4,1.5,40.0,,,20.0,1000.0,Al,batch,100.0,41.0
,As,30.0,0.3,99.0,6.0,,0.8,5.0,42.10526316,,,60.0,2.0,Fe,Batch,190.0,
,As,0.205,0.0738,64.0,6.5,,0.24,1.5,30.0,,,30.0,0.25,Al,Batch,80.0,
98.0,F,2.5,1.625,35.0,5.0,,0.45,,112.5,,,15.0,1000.0,Al-Fe,batch,40.0,14.0
55.0,As,0.13,0.0091,93.0,6.4,,0.3,3.0,1.5,3.0,,40.0,1000.0,Fe,batch,200.0,8.0
,As,0.01,0.0018,82.0,6.5,,0.6,1.5,75.0,,,5.0,0.25,Al,Batch,80.0,
,As,10.0,9.7,3.0,4.0,,1.2,5.0,63.15789474,,,30.0,2.0,Al,Batch,190.0,
84.0,As,0.5,0.0053,98.94,5.0,,0.16668,2.0,13.89,,,40.0,4000.0,Fe-Fe,batch,120.0,11.0
,F,7.27,4.01,44.85,7.0,,0.1184,0.6,40.0,,,7.0,0.45,Al,Batch,29.6,
,As,0.01,0.0026,74.0,6.5,,0.6,1.5,75.0,,,30.0,0.25,Fe,Batch,80.0,
57.0,As,10.0,0.01,99.9,6.0,,0.3,3.0,4.8,3.0,,10.0,1000.0,Al-Fe,batch,62.5,8.0
15.0,As,1.42,0.0994,93.0,6.0,,0.375,3.0,300.0,,,60.0,250.0,Al-Fe,batch,12.5,2.0
,F,10.0,2.8,72.0,6.0,,2.0,0.5,12.5,,,60.0,8000.0,Al,batch,1600.0,16.0
33.0,F,5.0,1.0,80.0,6.0,,0.25,0.5,15.0,2.95,,90.0,1000.0,Al,batch,50.0,7.0
,As,0.4,0.136,66.0,10.0,,0.6,1.5,75.0,,,17.5,0.25,Al,Batch,80.0,
,As,0.6,0.0882,85.3,7.4,7.4,0.1,1.5,10.0,,,4.0,1120.0,Fe,batch,100.0,40.0
,F,50.0,22.0,56.0,6.0,,1.0,2.0,150.87,,,40.0,1500.0,Fe,batch,66.28,21.0
187.0,F,190.0,29.99999999,84.21052632,3.0,7.3,6.0,1.0,60.0,,,10.0,495.0,Al,batch,832.0,33.0
45.0,As,1.18,0.01652,98.6,7.3,,3.0,3.0,7.5,3.0,,2.0,1000.0,Fe,batch,400.0,8.0
,F,12.0,0.888,92.6,3.0,5.9,1.792,1.0,35.0,,714.3,10.0,1400.0,Al,batch,512.0,39.0
12.0,F,10.0,9.0,10.0,9.0,,2.0,5.0,200.0,,0.1,20.0,1000.0,al,batch,100.0,30.0
55.0,F,5.0,1.0,80.0,6.0,,2.38,2.0,100.0,,0.01,5.0,400.0,al,batch,238.0,31.0
,As,0.05,1e-05,99.98,,,0.075,1.5,15.0,,,37.5,1500.0,Fe,batch,50.0,45.0
,As,0.5,0.00975,98.05,,,0.075,1.5,15.0,,,37.5,1500.0,Fe,batch,50.0,45.0
,F,7.27,2.48,65.88,7.34,,0.148,0.6,50.0,,,14.0,0.45,Al,Batch,29.6,
73.0,F,5.0,1.0,80.0,5.0,9.4,4.76,2.0,200.0,,0.01,5.0,400.0,al,batch,238.0,31.0
145.0,F,10.0,2.0,80.0,,,0.1,1.0,1.0,14.2,,5.0,5000.0,Al,continuous,100.0,27.0
,F,15.0,3.0,80.0,6.0,,3.0,0.5,18.75,,,60.0,8000.0,Al,batch,1600.0,16.0
,As,10.0,0.2,98.0,8.0,,0.4,5.0,21.05263158,,,90.0,2.0,Fe,Batch,190.0,
,As,10.0,0.1,99.0,6.0,6.0,0.1,1.5,20.0,,,32.0,500.0,Steel,batch,50.0,42.0
,As,0.4,0.108,73.0,6.5,,0.96,1.5,120.0,,,17.5,0.25,Al,Batch,80.0,
79.0,As,0.15,0.01485,90.1,7.0,7.6,0.038,1.3,0.1735,1.2,,15.0,750.0,Al,batch,219.0,10.0
,As,10.0,0.05,99.5,6.0,,1.2,5.0,63.15789474,,,60.0,2.0,Fe,Batch,190.0,
,F,9.0,7.2,20.0,7.4,7.4,0.25,1.5,25.0,,,3.0,1000.0,Al,batch,100.0,41.0
2.0,As,0.042,0.00126,97.0,5.0,7.47,0.441,,45.0,3.89,,15.0,,Al,batch,98.0,1.0
,As,0.1,0.03686,63.14,7.0,,0.35,1.0,6.25,,,6.0,1.7,Fe,Batch,560.0,
,As,10.0,1.2,88.0,6.0,,1.2,5.0,63.15789474,,,5.0,2.0,Fe,Batch,190.0,
